mid,standard_question,standard_answer
249,"For a fully discrete 10-pay critical illness insurance of 1000 on (x), where the benefit is payable upon diagnosis of a covered critical illness: 
(i) \( A_{x+10} = 0.4 \), representing the actuarial present value of the benefit at age x+10. 
(ii) The gross premium is 35. 
(iii) Reserves are gross premium reserves. 
(iv) The gross premium reserve basis is \( i=0.04 \), \( q_{x+9}=0.01 \) (where \( q \) denotes the annual probability of a covered critical illness), annual renewal expense of 5% of premium plus 1.5 paid at the beginning of every renewal year, settlement expense of 14 (incurred when a claim occurs). 
(v) Actual experience in the tenth year is \( i=0.05 \), \( q_{x+9}=0.008 \), expense of 4 paid at the beginning of the year, settlement expense of 18.6. 

The tenth year gain per policy in force at the beginning of the tenth year is decomposed into interest, expense, and morbidity (critical illness incidence), in that order. 
Calculate the gain from morbidity in the tenth year. (The final answer should have 4 decimal places)",1.1792
250,"An insurance company offers a long-term group disability insurance product to five large corporations. For each policyholder group, the insurer tracks the earned premiums and expected claim ratios. The company also records the cumulative disability claims paid in each development year. The data is shown below:

<table>
<tr><td rowspan=""2"">Policy Year</td><td rowspan=""2"">Earned Premium (in 1,000s)</td><td rowspan=""2"">Expected Claim Ratio</td><td colspan=""5"">Cumulative Paid Claims (in 1,000s) by Development Year</td></tr>
<tr><td>0</td><td>1</td><td>2</td><td>3</td><td>4</td></tr>
<tr><td>PY1</td><td>20,000</td><td>0.62</td><td>3,000</td><td>8,000</td><td>9,500</td><td>9,900</td><td>9,900</td></tr>
<tr><td>PY2</td><td>25,000</td><td>0.65</td><td>3,200</td><td>7,800</td><td>9,000</td><td>9,900</td><td/></tr>
<tr><td>PY3</td><td>28,000</td><td>0.66</td><td>4,000</td><td>8,800</td><td>10,000</td><td/><td/></tr>
<tr><td>PY4</td><td>30,000</td><td>0.651</td><td>4,400</td><td>9,200</td><td/><td/><td/></tr>
<tr><td>PY5</td><td>40,000</td><td>0.56875</td><td>5,000</td><td/><td/><td/><td/></tr>
</table>

Assume that no claim development occurs beyond development year 4 and that any missing development factors default to 1.0.

Using the Bornhuetter-Ferguson method and volume-weighted average loss development factors, calculate the total loss reserve for the insurer. (Final result must be an integer)",19817
251,"A company provides insurance against cyber attacks for a small tech firm. You are given: 
(i) The number of cyber attacks in a year has a Poisson distribution with mean 1. 
(ii) The distribution of ground up losses due to a single cyber attack is 
| \( x \) | Probability of \( x \) | 
|----------|------------------------| 
| 10      | 0.3                    | 
| 20      | 0.3                    | 
| 50      | 0.4                    | 

(iii) The number of attacks and the amounts of losses are independent. 
(iv) There is an annual deductible of 30. 
(v) Assume an annual interest rate of 5% for discounting, but claims are paid immediately. 

Calculate the expected amount of claims paid by the insurer in one year. 

(The final answer should have 4 decimal places)",13.5128
252,"某投资人在2011年7月1日签订了一份1年期债券远期合约多头，到期日为2012年7月1日。合约签订时已知： 
(1) 标的债券价格为50元，预计在2011年11月1日支付票息2元； 
(2) 市场无风险连续复利为6%。 

关键时间节点： 
| 日期       | 事件描述   | 距合约签订时间（年） | 
|------------|------------|----------------------| 
| 2011年7月1日 | 合约签订 | \( t=0 \)           | 
| 2011年9月1日 | 估值日   | \( t=2/12 \)         | 
| 2011年11月1日 | 票息支付日 | \( t=4/12 \)       | 
| 2012年7月1日 | 合约到期 | \( t=1 \)           | 

2011年9月1日，债券价格上涨至58元，票息支付计划未变，此时市场无风险连续复利变为10%。计算该日投资人持有的远期合约多头的价值。（结果保留2位小数，单位：元）",9.10
253,保额为1000元的20年期生存年金合同，每半年支付一次生存金，生存金率为年率2.45%（半年支付），满期时返还保额。如果前10年的定价利率为每半年1.8%，后10年的定价利率为每半年3.2%，则此合同的现值为多少元。（结果保留1位小数）,1031.7
254,10000元的系列债券在以后5年每半年末赎回本金1000元，债券的年名义票息率为10%，每半年支付一次利息。若投资者要求的年名义收益率为6%，每半年复利一次，则其购买该债券的价格是多少元？（结果保留整数）,10980
255,"The distribution of the time until default for a corporate bond issuer is a two-point mixture: 
(i) With probability 0.60, the time until default follows the Standard Credit Risk Table, which provides a discrete whole life default insurance expected present value \( A_{62} = 0.31495 \) for an issuer with credit rating equivalent to age 62. Defaults are uniformly distributed over each year of rating age. 
(ii) With probability 0.40, the time until default follows a constant force of default with \( \mu = 0.02 \). 

A fully continuous whole life default insurance of 1000 is issued on the bond issuer at equivalent age 62. The net premium is calculated as the weighted average of the expected present values from each component, using the mixture probabilities. 

Calculate the net premium for this insurance at \( i = 0.05 \). 
(The final answer should have 2 decimal places)",21.92
256,"For a fully continuous whole life insurance of 1000 on (60)：
(i) $_{0}L$? is the random variable for net future loss
(ii) Var($_{0}L$)=68,254
(iii) Mortality is uniformly distributed with ω=100
(iv) δ=0.05
(v) Continuous premiums are payable throughout the insured's lifetime
Determine the net premium.(The final answer must be an integer)",4
257,"For 4 insured members in a health insurance plan, you have the following experience for number of medical claims over 4 years.

<table><tr><td/><td colspan=""4"">Year</td></tr><tr><td>Insured Member</td><td>1</td><td>2</td><td>3</td><td>4</td></tr><tr><td>#1</td><td>0</td><td>0</td><td>0</td><td>1</td></tr><tr><td>#2</td><td>1</td><td>0</td><td>0</td><td>0</td></tr><tr><td>#3</td><td>1</td><td>1</td><td>1</td><td>0</td></tr><tr><td>#4</td><td>0</td><td>0</td><td>0</td><td>0</td></tr></table>

Using Bühlmann empirical Bayes non-parametric credibility methods, and assuming all insured members have identical 4-year observation periods with no time trend, calculate the estimated number of medical claims for insured member #1 in year 5.

(The final answer should have 2 decimal places)",0.28
258,"XYZ Pension Fund holds an annuity portfolio with an initial value of 450,000. The portfolio makes annual payouts of 150,000 of principal at the end of each year for three years. Until paid out, the remaining principal earns interest at a variable rate equal to the one-year spot interest rate observed at the beginning of each year.

To stabilize the income stream, XYZ Pension Fund enters into an interest rate swap with Horizon Financial. In the swap, XYZ Pension Fund pays a fixed rate to Horizon Financial and receives a variable rate from Horizon Financial. The variable rate is identical to the rate applied to the annuity portfolio. The notional amounts and payment timings of the swap are structured to align exactly with the annuity's payout schedule.

You are given the following spot interest rates at time 0:

| Time (t) | Spot Rate ( \(r_{t}\) ) |
|----------|-----------------|
| 1 | 4.3% |
| 2 | 4.6% |
| 3 | 5.1% |
| 4 | 5.4% |
| 5 | 5.6% |

Calculate the swap interest rate for XYZ Pension Fund's swap. (The final answer should have 4 decimal places)",0.0478
259,设每一年龄内死亡服从均匀分布：一位50岁的客户投保一份保额为100000英镑，死亡年末给付保险金的15年期生死合险，年利率为6%。已知$A_{50:{\overline{15}\mid}}^1=0.0700242$，$_{15}E_{50}=0.2667394$，假设半年度保费调整因子适用Woolhouse近似，计算该保险按半年缴纳的年均衡纯保费。 （结果保留2位小数）,2920.56
260,"An insurance company offers a guaranteed minimum accumulation benefit for 100 units of an equity fund. The fund's current price is $42 per unit. The guarantee ensures the value does not fall below $40 per unit after 6 months. To hedge this liability, the company purchases one 6-month European put option contract, where each contract covers 100 units. You are given: 
(i) The Black-Scholes-Merton framework is assumed. 
(ii) The continuously compounded risk-free interest rate is 5%. 
(iii) The fund pays no dividends. 
(iv) The fund's value follows a lognormal process with $\sigma=0.22$. 
Determine the cost of the put option contract. (The final answer should have two decimal places)",129.44
261,"Consider a 4-year fully discrete level premium special endowment insurance for an astronaut aged 40. The death benefit is 800 if death occurs during the first two years, and 1000 if death occurs during the last two years. The survival benefit upon reaching age 44 is 1200. You are given: 
(i) \( q_{40} = q_{41} = 0.08, q_{42} = 0.10 \) 
(ii) \( i = 6\% \) 
(iii) \( {}_4p_{40} = 0.685584 \) 
Calculate the net premium. (The final answer should have 4 decimal places)",274.7297
262,"A 30-year structured bond is purchased by Tom, aged 30. The bond pays annual coupons of $R$ for the first 10 years, and $2R$ for the next 20 years. The present value of the bond's cash flows is 100 at an annual effective interest rate of 4%. At the end of 10 years, Tom has the option to sell the remaining bond payments for a lump sum $X$, which would provide the buyer an annual effective rate of 4.5% over the 10-year period. Calculate $X$. You may ignore any credit risk for this problem. (The final answer should have 2 decimal places)",108.88
263,"A student takes a multiple-choice test with 50 questions. The probability that the student answers a given question correctly is 0.4, independent of all other questions. The probability that the student answers more than $N$ questions correctly is greater than 0.10. The probability that the student answers more than $N+1$ questions correctly is less than 0.10. Calculate $N$ using a normal approximation with the continuity correction.",23
264,"Company C is an asset management firm holding a portfolio of 10 million units of a commodity ETF. The current ETF price is \$100 per unit. Company C intends to liquidate the portfolio in 3 months but seeks to hedge against a potential price drop. Therefore, it purchases at-the-money European put options on the ETF with a strike price of \$100 per unit.

You are given the following information:

- (i) The options expire in 3 months \( \left( \frac{1}{4} \text{ year} \right) \)
- (ii) The total number of ETF units is 10,000,000
- (iii) The current ETF price is \( S_0 = 100 \)
- (iv) The strike price is \( K = 100 \)
- (v) The continuously compounded risk-free rate is \( r = 0.035 \)
- (vi) The continuous convenience yield is \( \delta = 0.015 \)
- (vii) The daily volatility is \( \sigma_{\text{daily}} = 0.261712\% \)
- (viii) \( 1 \text{ year} = 365 \text{ days}; \quad 3 \text{ months} = \frac{1}{4} \text{ year} \)

---

**Problem:** 
Calculate the total cost of the put options (in **billions** of US dollars). 
(The final answer should be given to 4 decimal places.)",0.0076
265,"You are given:
(i) The value of a pension fund's assets is 40.
(ii) The assets generate continuous income at the rate of 2%.
(iii) The continuously compounded risk-free rate is 4%.
An 8-month European put option on 7 units of the fund has a strike price of 45 per unit. It is modeled with a 1-period binomial tree with u = 1.25 and d = 0.75.
Calculate the number of units of the fund that are sold in the hedging portfolio which replicates the option.
(The final answer must be an integer)",5
266,"一位34岁的人购买死亡年末给付1000元的完全离散终身寿险。已知资产份额等于现金价值，第20年末被保险人年龄为54岁，此时现金价值为304元。假设：
\[i = 4\%，\;\widehat{i} = 7.5\%\]
\[{q}_{54}^{(d)} = 0.01，\;{\widehat{q}}_{54}^{(d)} = 0.005\]
\[{E}_{19} = 4，\;{\widehat{E}}_{19} = 3\]
且退保率\( q_{54}^{(w)} = \widehat{q}_{54}^{(w)} = 0 \)。若红利在每年年末派发，并包含该年死亡和退保的保单持有人，计算第20年的红利值。（结果保留两位小数）",15.02
267,"A study involves 92 newly issued life insurance policies to assess policy lapse times. During the observation period: 
- 2 lapses at time 2 
- 1 lapse at time 3 
- 1 censored at time 6 due to policy maturity without lapse 
- 1 censored at time 7 due to policy maturity without lapse 
- 2 lapses at time 8 
The remaining 85 policies were censored at time 8 when the study concluded. 

Calculate the estimated variance of the Kaplan-Meier estimator \( \hat{S}(8) \) using Greenwood’s formula.(The final answer should have 6 decimal places)",0.000569
268,"A bond with face value $L$ is amortized with 40 quarterly payments of 100 at the end of each quarter. The bond yields an effective quarterly rate of $j$. The book value immediately after the 8th and 24th payments is 2308.15 and 1345.50, respectively. Calculate the amount of interest in the 15th payment. (The final answer should have two decimal places)",41.96
269,"考虑某种家庭财产保险。假定最高索赔额为 2000 元。为简单起见，暂且假定对某个特定的个人，发生一次索赔的概率为 0.15 ，发生 2 次及 2次以上的概率为 0，即 $P\{I=0\}=0.85, P\{I=1\}=0.15$。 将 $B$ 记为一旦事故发生时对被保险人的赔偿，并假定 $P\{B=2000 \mid I=1\}=0.1$，在 $0 \leqslant B \leqslant 2000$ 之间关于 $I=1$ 的条件分布是连续的，且条件概率密度 $f_{B \mid I}(b \mid 1)$ 与 $1-\frac{b}{2000}$ 成正比。试计算每个被保险人的实际索赔金额 $X=B I$ 的方差 $\operatorname{Var}(X)$。",135600
270,一家企业设立一项10年期教育储蓄计划，每年初存入等额资金，以便在10年后累积1000元教育基金，年实际利率为5%。在第5年后，市场利率下调至4%。则后5年的年度存款额比前5年的年度存款额多多少元？（结果保留两位小数）,6.92
271,"对85岁签发的一份保额为1000元的完全离散式生存年金，在生存期间每年初支付生存金，第k年初支付的生存金为 \( \pi_k, k = 0,1,2,\ldots \) ,又已知下列条件: 
(1) \( \pi_k = \pi_0 (1+i)^k \) ; 
(2)生存时间服从De-Moivre规则, \( \omega = \mathbf{110} \) ; 
(3) \( i = 0.05, a_{\overline{30}|} = 15.4 \) ; 
(4)年金现值由等价原理确定。 
试计算 \( \pi_0 \)值为多少。（结果保留1位小数）",33.1
272,某人借款10000元，年利率5%，采用偿债基金法偿还贷款，偿债基金存款利率为4%。已知第1年偿债基金增长额为240.125元。计算第13次付款中净利息与第9年偿债基金增长额之和为多少元。（结果保留1位小数）,684.3
273,"假设某保险的损失额服从指数分布:
\[{f}_{X}\left( x\right) = \frac{1}{150}{e}^{-\frac{x}{150}}\]
保单规定免赔额为 100 元，损失额超过1000元的部分不承担赔偿责任，赔付比例为 0.8，且仅当损失超过免赔额时进行赔付。则每次赔偿事件的实际平均理赔额为多少？ （结果保留1位小数）",119.7
274,"A pension fund must make three benefit payments of 1000 each at the end of years 1, 2, and 3 to retirees who are certain to survive the payment dates. The fund manager decides to match these liabilities using the following three bonds available in the market:

Bond X: A 1-year bond with an annual coupon rate of 1%, priced at an annual effective yield of 14%. 
Bond Y: A 2-year bond with an annual coupon rate of 2%, priced at an annual effective yield of 15%. 
Bond Z: A 3-year zero-coupon bond priced at an annual effective yield of 18%. 

Calculate the total purchase price of the three bonds required to exactly match the expected benefit payments. (The final answer should have 2 decimal places)",2241.82
275,"被保险人在2017年1月1日满65岁。已知2012年标准终极生命表部分数据如下：

| $x$ | $q_x$ |
|:-----:|:-----------:|
| 65 | 0.005915 |
| 66 | 0.006619 |
| 67 | 0.007409 |
| 68 | 0.008297 |
| 69 | 0.009289 |

死亡率改善采用以下年度比例（从2012年起每年应用）：

| $x$ | $\phi(x)$ |
| :---: | :---: |
| 65 | 0.020 |
| 66 | 0.019 |
| 67 | 0.018 |
| 68 | 0.017 |
| 69 | 0.016 |

利率$i=0.05$，计算2017年开始支付的5年期期初年金精算现值$\ddot{a}_{65: \overline{5}|}$。（结果保留4位小数）",4.4950
276,健康保险公司为了激励被保险人的健康预防行为，降低医疗成本，采用部分理赔的方法。当实际医疗费用为Y元时，理赔额$Z=Y - Y^{0.8}$。已知该公司承保的某项手术费用服从对数正态分布，其中$\ln Y$服从均值为10.0、方差为0.4的正态分布。每次手术费用独立同分布，求每次手术的平均理赔额，单位是元。（结果保留1位小数）,23515.2
277,"Suppose that you take out a 30-year $200,000 mortgage loan, at a nominal interest rate of 9% convertible monthly. You are scheduled to pay off this loan with level end-of-month amortization payments. Immediately after the 78th payment, you refinance your mortgage with a new 15-year mortgage at a nominal interest rate of 5.9556% convertible quarterly. The new mortgage requires level amortization payments at the end of every six-month period. Find the amount of principal in the 12th payment under the new, refinanced mortgage.(The final answer should have 2 decimal places)",5483.85
278,某企业为技术升级项目储备资金，前两年中，每半年初在项目基金中投入 2000 元，后 3 年中，每季初投入 2000 元，每月计息一次的年名义利率为 12%。则 5 年末该项目基金的积累值为多少元？（结果保留1位小数）,42612.4
279,"In a defined benefit pension plan with a death benefit provision, you are given: 
(i) The actuarial present value of the death benefit at age 60, \( A_{60} = 0.58896 \) 
(ii) The one-year survival factor at age 60, \( {}_1E_{60} = 0.9506 \) 
(iii) The actuarial present value of the death benefit at age 61, \( A_{61} = 0.60122 \) 
(iv) Interest rate \( i = 3.3\% \) 
Calculate the mortality rate \( q_{60} \). (The final answer should have 6 decimal places)",0.018016
280,"假设(x)购买完全连续10年定期残疾保险，已知残疾发生即刻赔付10万元，残疾给付相关费用为100元，年度连续缴纳毛保费2500元，年度费用为150元，已知不发生残疾的概率 \( p_x = 0.98 \), 利息力 \( \delta = 0.05 \)，假设年内残疾力恒定，以 \( h = 0.1 \) 为步长，求 \( {}_{0.7} V_x \)。（结果保留4位小数）",268.9211
281,某养老基金以1900元的价格购入一张面值为2000元、期限为10年的企业债券，债券到期赎回金额为2100元，期间按季度支付票息，年名义票息率为8%。若所有票息以年名义利率6%、按季度计息的方式再投资，则该基金在此债券上的年名义内部收益率（按季度计息）为多少？（结果保留4位小数）,0.0818
282,"对于估计区间 \( (x,x + 1] \) ,有 5 个个体构成的群体的观测数据如表 9 所示。
表 9

<table><tr><td>i</td><td>r<sub>i</sub></td><td>t<sub>i</sub></td><td>δ<sub>i</sub></td></tr><tr><td>1</td><td>0.0</td><td>1.0</td><td>0</td></tr><tr><td>2</td><td>0.0</td><td><strong>0.5</strong></td><td>1</td></tr><tr><td>3</td><td>0.0</td><td>0.7</td><td>1</td></tr><tr><td>4</td><td>0.5</td><td><strong>1.0</strong></td><td>1</td></tr><tr><td>5</td><td>0.5</td><td>1.0</td><td>0</td></tr></table>

其中 \( x + r_{i} \) 是第 \( i \) 个个体进入 \( (x,x + 1] \) 区间的年龄； \( x + t_{i} \) 是第 \( i \) 个个体或生存退出年龄，或者死亡年龄，或者观察到的退出时的年龄； \( \delta_{i} = 0 \) 表示被观测个体是生存者， \( \delta_{i} = 1 \) 表示被观测个体死亡。在指数分布假设下算得的 \( q_{x} \) 的极大似然估计与均匀分布假设下算得的 \( q_{x} \) 的极大似然估计之差为多少？（结果保留4位小数）",-0.0583
283,"一年内每天发生的家财险保险索赔数分布如下表所示。考虑如下的假设检验：数据来自均值为 0.6 的 Poisson 分布，且假设每天的风险暴露相同且索赔事件相互独立。将数据分为尽可能多的组，并保证每个组期望的观测数至少为 5。采用 \( \chi^{2} \) 拟合优度检验，则 \( \chi^{2} \) 统计量的值为多少？ （结果保留4位小数）
表

| 保险索赔数目 | 天数 |
|------------------|------|
| 0 | 209 |
| 1 | 111 |
| 2 | 33 |
| 3 | 7 |
| 4 | 3 |
| 5 | 2 |",2.8778
284,"An insurance company has liabilities due at the end of each of the next two years. The liability due at the end of the second year is twice that for the first year.

The company uses a combination of the following two bonds to match the liabilities. The second bond has annual coupons.

| Term to maturity (in years) | Annual coupon rate | Annual effective yield |
| --- | --- | --- |
| 1 | $0 \%$ | $6 \%$ |
| 2 | $5 \%$ | $10 \%$ |

Assume both bonds are redeemed at par and the company invests 9132 in the two-year bond.

Calculate the amount the company should invest in the one-year bond to construct an exactly matched portfolio.
(The final answer must be an integer)",4481
285,"For a 25-year endowment life insurance policy embedded in a pension scheme for a member aged 50, providing a death benefit of 10000 payable at the end of the year of death or a maturity benefit of 10000 upon survival to age 75, with annual premiums payable for 25 years, you are given: 

(i) Benefits are paid at the end of the year of death. 

(ii) \( {A}_{{50} : \overline{25}\mid} = {0.40} \) 

(iii) \( {A}_{{55} : \overline{20}\mid } = {0.45} \) 

(iv) \( {\ddot{a}}_{{50} : \overline{25}\mid } = {15} \) 

(v) \( {\ddot{a}}_{{55} : \overline{20}\mid } = {13.75} \) 

(vi) Expenses on the policy are as follows: 
<table><tr><td>Year</td><td>Percent of Premium</td><td>Per Policy</td></tr><tr><td>1</td><td>40%</td><td>100</td></tr><tr><td>2+</td><td>10%</td><td>15</td></tr></table> 

(vii) Expenses are paid at the beginning of the year. 

(viii) The gross premium is calculated using the equivalence principle. 

(ix) The reserve basis is the same as the premium basis. 

Calculate the expense reserve at the end of the fifth year. 
(The final answer should have 2 decimal places)",-167.72
286,"在操作风险管理中，每时期的总损失额$L$服从复合泊松分布，损失强度的密度函数为$f(y)=5y^{-6},\ y>1$。采用正态近似时，样本量的完全可信标准要求$L$在$\pm5\%E(L)$范围内波动的概率为90%。若用相同样本量建模频数变量$F$（即风险事件发生次数），要求每个风险期的事件次数在$\pm r\%E(F)$范围内波动的概率为95%，求$r$的值。（结果保留4位小数）",0.0577
287,"For a fully discrete whole life insurance policy of 2000 on each participant in a corporate executive benefits plan aged 45, you are given: 
(i) The gross premium is determined using the equivalence principle. 
(ii) Expenses, payable at the beginning of the year: 
- First year: 25% of premium + 33 
- Renewal years: 5% of premium + 11 
(Expense breakdown: 33 = 30 per participant + 3 per 2000 insured; 11 = 10 per participant + 1 per 2000 insured) 
(iii) 
\[1000A_{45} =201.20, \ddot{a}_{45}=14.1121, \ddot{a}_{55} =12.2758, 1000A_{55} =305.14 \] 
(iv) \( i = 0.06 \). 
Calculate the expense reserve at the end of policy year 10.(The final answer should have 2 decimal places)",-26.77
288,"A pension fund has a known future obligation of 1000000 payable in 10 years. The method of full immunization is to be implemented. A corporate zero-coupon bond provides a redemption payment of 300000 exactly 8 years from now. A government zero-coupon bond provides a redemption payment of \( X \) exactly \( y \) years from now, where \( y > 10 \). 
The annual effective interest rate is 4%. 
Calculate \( X \). 
(The final answer must be an integer)",701458
289,"设某家庭财产保险的NCD系统有三个折扣级别：0%，25% 和 40%，基准保费为 500 元。转移规则如下： 
1. 若本年度无索赔且续保，则下一年度升级一个折扣级别（若已处于最高级别则不变）； 
2. 若本年度发生至少一次索赔且续保，则下一年度降级一个折扣级别（若已处于最低级别则不变）。 

保单持有人根据每次财产损失的损失额是否超过当前级别临界值决定是否提出索赔。各折扣级别的临界值分别为：0%级别200元，25%级别275元，40%级别75元。已知： 
- 损失事件发生次数服从参数 \( \theta = 0.1 \) 的泊松分布； 
- 每次损失事件的损失额服从参数 \( \mu = 5 \), \( \sigma = 2 \) 的对数正态分布。 

若该NCD系统已达稳定状态，试计算其平均保费。（结果保留2位小数）",304.95
290,"The following claim experience is observed:
| Claim Size | Number of Claims |
|------------|------------------|
| 0-1000 | 18 |
| 1000-2000 | 12 |
| 2000-∞ | 4 |

You fit an exponential to the claim size distribution using maximum likelihood. Determine the estimate of mean claim size.(The final answer should have 2 decimal places)",1091.36
291,"某保险公司承保两类工伤险风险，损失情况如下：

低风险行业类别：共有180个风险
<table>
<tr><td>损失金额</td><th>概率</th></tr>
<tr><td>100</td><td>0.8</td></tr>
<tr><td>300</td><td>0.2</td></tr>
</table>

高风险行业类别：共有20个风险
<table>
<tr><td>损失金额</td><th>概率</th></tr>
<tr><td>100</td><td>0.7</td></tr>
<tr><td>400</td><td>0.3</td></tr>
</table>

确定随机选择一个风险的Bühlmann信度因子\( K \)。（结果保留整数）",34
292,"You are given：
(i) Over a three-year period, the following claim experience was observed for two insureds who own food delivery trucks:

| | | Year 1 | Year 2 | Year 3 |
| :---: | :--- | :--- | :--- | :--- |
| Insured A | Number of Vehicles | 3 | 1 | 1 |
| | Number of Claims | 1 | 1 | 0 |
| Insured B | Number of Vehicles | N/A | 4 | 1 |
| | Number of Claims | N/A | 3 | 2 |

(ii) The number of claims for each insured each year follows a Poisson distribution.
(iii) Insured B was not insured in Year 1, hence data is unavailable.
Calculate the semiparametric empirical Bayes estimate of the claim frequency per vehicle for Insured A in Year 4.(The final answer should have 4 decimal places)",0.6333
293,"某保险公司承保了重大疾病保险保单组合，特性如下： 
（1）每张保单最多发生一次索赔，并且索赔发生的概率为 0.02； 
（2）索赔发生时的个体理赔额分布如下： 
表1－1 个体理赔额分布 
| 理赔额 | 2 | 6 | 
| :--------: | :---: | :---: | 
| 概率 | 0.5 | 0.5 | 

（3）安全附加系数为$ \frac{1}{3}$。 
为了使所收取保费总额低于赔付总额的概率不超过 $5 \%$. 保险公司需承保的最小保单数是多少?（结果保留整数）",1498
294,"You are given:
(i) The force of failure for an industrial machine follows Gompertz’s law with \( B = 0.00000201 \) and \( c = 1.2 \).
(ii) The annual effective rate of interest is 3%.
(iii) The failure benefit is payable at the end of the year of failure.
Calculate \( \mathbf{A_{55:\overline{2}|}^1} \) for the machine at age 55 time units.(The final answer should have 6 decimal places)",0.099404
295,"In a health insurance portfolio, the number of policyholders free from chronic disease follows the Custom Health Status Table provided below. Uniform distribution of chronic disease diagnoses is assumed between integral ages. Calculate $1000_{1 \mid} q_{60.5}$, representing the probability of developing a chronic disease within one year for a healthy individual aged 60.5.(The final answer should have 4 decimal places)
Custom Health Status Table 
| Age | $l_x$ | 
|-----|-------------| 
| 60  | 102,000.00 | 
| 61  | 98,000.00  | 
| 62  | 97,766.95  | 
| 63  | 97,533.90  |",2.3305
296,"根据下面的数据:

- 承保保费 1,000,000
- 已赚保费 800,000
- 已发生损失和分摊损失调整费用 625,000
- 非分摊损失调整费用 50,000
- 佣金 180,000（占承保保费的比例）
- 税收、执照及其他费用 30,000（占承保保费的比例）
- 其他承保费用 60,000（占承保保费的比例）
- 一般管理费用 40,000（占已赚保费的比例）
- 利润因子 Q=5%

假设所有费用均按标注的保费基数计算，求目标损失率。 （结果保留4位小数）",0.5833
297,"You are given:
(i) Losses follow an exponential distribution with mean $\theta$.
(ii) The data are interval-censored observations of a continuous loss variable.
(iii) A random sample of 40 losses is distributed as follows:

| Loss Range | Frequency |
| :--- | :---: |
| $[0,1000]$ | 14 |
| $(1000,2000]$ | 12 |
| $(2000, \infty)$ | 14 |

Calculate the maximum likelihood estimate of $\theta$.(The final answer should have 2 decimal places)",1996.90
298,"A wedding cancellation insurance policy reimburses clients for non-refundable expenses if the wedding is cancelled due to venue bankruptcy. Individual claims follow a Pareto distribution with parameters \( \alpha = 3 \) and \( \theta = 700 \). The insurer imposes a reimbursement limit of \$1,500 per claim. For a policyholder whose claim exceeds \$1,500, define the non-reimbursed amount as \( Y = X - 1,500 \mid X > 1,500 \). What is \( E(Y) \)?(The final answer must be an integer)",1100
299,"For a special single premium 2-year endowment insurance on (x), you are given:
(i) Death benefits, payable at the end of the year of death, are:
\[ b_{1} = 3000 \]
\[ b_{2} = \mathbf{1800} \]
(ii) The maturity benefit is \(\mathbf{1050}\).
(iii) Expenses, payable at the beginning of the year:
(a) Taxes are 2% of the gross single premium.
(b) Commissions are 3% of the gross single premium.
(c) Other expenses are 15 in the first year and 2 in the second year.
(iv) \( i = 0.04 \)
(v) \( p_{x} = 0.9; p_{x + 1} = 0.8 \).
Calculate the single gross premium using the equivalence principle.
(The final answer should have 2 decimal places)",1372.33
300,"已知：(1)各支付年索赔支付额如下表所示。
表1 单位：千元

<table><tr><td><td>发生年2007</td><td>发生年2008</td><td>2009</td><td>发生年2010</td><td>发生年2011</td></tr><tr><td>进展年0</td><td>862</td><td>769</td><td>760</td><td>805</td><td>1455</td></tr><tr><td>进展年1</td><td>664</td><td>659</td><td>671</td><td>1067</td><td/></tr><tr><td>进展年2</td><td>300</td><td>750</td><td>835</td><td/><td/></tr><tr><td>进展年3</td><td>247</td><td>488</td><td/><td/><td/></tr><tr><td>进展年4 +</td><td>465</td><td>540</td><td/><td/><td/></tr></table>

(2)已报告索赔的赔案准备金为：
表2 单位：千元

<table><tr><td><td>发生年2007</td><td>发生年2008</td><td>发生年2009</td><td>发生年2010</td><td>发生年2011</td></tr><tr><td>进展年0</td><td>795</td><td>599</td><td>770</td><td>1394</td><td>1865</td></tr><tr><td>进展年1</td><td>600</td><td>860</td><td>698</td><td>1647</td><td/></tr><tr><td>进展年2</td><td>727</td><td>657</td><td>1215</td><td/><td/></tr><tr><td>进展年3</td><td>465</td><td>540</td><td/><td/><td/></tr></table>

假设：选定比率为各发生年进展年1:2的已付赔款总额与对应准备金总额的比率，用准备金进展法得到的进展期1:2的平均准备金支付率(PO)为多少。 （结果保留3位小数）",0.873
301,"趸缴保费数额为1万元，无附加费用，保证利率在\(1\sim5\)年为8%，以后为3%。退保费用如下表所示，假设忽略死亡因素。

表1 退保费用比例
<table><tr><td>保单年度</td><td>1</td><td>2</td><td>3</td><td>4</td><td>5</td><td>6</td><td>7+</td></tr>
<tr><td>退保费用率(%)</td><td>6</td><td>5</td><td>4</td><td>3</td><td>2</td><td>1</td><td>0</td></tr></table>

评估利率为7%，各年末退保现金价值现值如下表所示（单位：元）：

表2 现金价值现值表
<table><tr><td>退保年度</td><td colspan=""6"">评估时点（保单年度末）</td></tr>
<tr><td></td><td>0</td><td>1</td><td>2</td><td>3</td><td>4</td><td>5</td><td>6</td></tr>
<tr><td>5</td><td>10,157</td><td>10,970</td><td>11,847</td><td>12,795</td><td>13,819</td><td>14,924</td><td>-</td></tr>
<tr><td>...</td><td>...</td><td>...</td><td>...</td><td>...</td><td>...</td><td>...</td><td>...</td></tr></table>

求第4保单年度末的准备金。（结果保留整数）",13819
